Column1,Wind Farm Name,GPS Coordinates,Number of Turbines,Rotor diameter,Minimum hub height,Maximum hub height,Cut-in wind speed,Cut-off wind speed,Rated wind speed,Rated power,Url,Manufacturer,
0,Acres Wind Farm,POINT (-8.191103157247806 54.52596928820865),6,103,75,98,4,25,13,"2,850",https://www.thewindpower.net/windfarm_en_23735_acres.php,GE Energy,
1,Altagowlan Wind Farm,POINT (-8.144207518732035 54.12264995403498),9,58,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_1737_altagowlan.php,Gamesa,
2,An Cnoc,POINT (-7.528185066497247 52.64733953128281),5,58,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa,
3,Anarget Wind Farm (1),POINT (-8.168338211217771 54.75216441094932),5,58,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa,
4,Anarget Wind Farm (2),POINT (-8.171490084241086 54.75181857217395),5,58,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa,
5,Anarget Wind Farm (3),POINT (-8.167527579590203 54.75522935793025),5,58,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_27257_an-cnoc.php,Gamesa,
6,"Arklow Bank Wind Farm (1)
Wind (Offshore)",POINT (-6.088454581225528 52.79204788555904),100,103,75,100,4,25,13,"3,600",https://www.thewindpower.net/windfarm_en_1741_arklow-bank.php,GE Energy,
7,Athea,POINT (-9.298020269623279 52.43899420039607),7,82.5,65,100,3,25,12,"1,600",https://www.thewindpower.net/windfarm_en_18006_athea.php,GE Energy,
8,Ballagh Wind Farm,POINT (-9.084219299726676 52.36889598676182),2,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_23059_ballagh.php,Enercon,
9,"Ballaman (Kennystown) Wind Farm
Wind",POINT (-6.543710570440514 52.62308674471972),2,90,80,105,3,25,13,"1,800",https://www.thewindpower.net/windfarm_en_17466_ballaman.php,Vestas,
10,Ballincollig Hill Wind Farm (Lee Strand),POINT (-9.592846943426071 52.30805683656618),11,48,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_19948_ballincollig-hill.php,Enercon,
11,Ballincurry Wind Farm Ltd (Glengoole),POINT (-7.626697484420236 52.61545961109382),,,,,,,,,,,
12,"Ballinlough Wind Farm
Wind",POINT (-8.011500531889673 52.83020127631763),3,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3852_ballinlough-ikerrin.php,Vestas,
13,"Ballinveny Wind Farm
Wind",POINT (-7.953136611486344 52.81694468247969),3,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1849_ballinveny.php,Vestas,
14,Ballon Wind,POINT (-6.803612061130292 52.72471708899695),0,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_27242_ballon-wind.php,Vestas,
15,"Ballybane (Glanta Commons) Wind Farm
Wind",POINT (-9.379970366906262 51.63174776540333),2,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3844_ballybane.php,Enercon,
16,Ballybane 2 (Glanta Commons) Wind Farm,POINT (-9.379970366906262 51.63174776540333),2,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_6704_ballybane.php,Enercon,
17,Ballybane 2A (Glanta Commons) Wind Farm,POINT (-9.379970366906262 51.63174776540333),2,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_22490_ballybane.php,Enercon,
18,Ballybane 2A (Glanta Commons) Wind Farm Extension,POINT (-9.379970366906262 51.63174776540333),2,71,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_29933_ballybane.php,Enercon,
19,Ballybane 3 (Glanta Commons) Wind Farm,POINT (-9.379970366906262 51.63174776540333),,,,,,,,,,,
20,Ballybay Wind Farm (Tullaroan),POINT (-7.508590335291997 52.66181157314142),6,82,59,84,2,25,14,"2,350",https://www.thewindpower.net/windfarm_en_23060_ballybay.php, Enercon E82/2350,
21,"Ballycadden Wind Farm (1)
Wind",POINT (-6.530214992179287 52.64630887596431),4,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_20104_ballycadden.php,Enercon,
22,"Ballycadden Wind Farm (2)
Wind",POINT (-6.525470329800435 52.64369710871916),4,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_23115_ballycadden.php,Enercon,
23,Ballycumber Wind Farm,POINT (-6.468145104410645 52.8334134749047),6,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_25199_ballycumber.php,Enercon,
24,"Ballycurreen Wind Farm
Wind",POINT (-7.597861313170009 52.02934824934817),2,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_22154_ballycurreen.php,Enercon,
25,"Ballyduff Wind Farm
Wind",POINT (-6.481211171185102 52.64584362575522),0,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_27258_ballyduff.php,Enercon,
26,"Ballyduff Wind Farm
Wind",POINT (-6.480386267124316 52.64619260066623),0,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_27259_ballyduff.php,Enercon,
27,Ballymartin (1) (Smithstown),POINT (-7.107502547503628 52.3873081863207),4,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_1713_ballymartin.php,Enercon,
28,Ballymartin (2) - Smithstown,POINT (-7.106230534857963 52.39137043932502),4,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_21330_ballymartin.php,Enercon,
29,"Ballynancoran Wind Farm
Wind",POINT (-6.526368498659162 52.66708804819756),2,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_21066_ballynancoran.php,Enercon,
30,Ballynultagh Wind Farm,POINT (-6.542178659013475 52.77747543251184),,,,,,,,,,,
31,Ballywater,POINT (-6.251044023299167 52.5377926181519),5,70,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_350_ballywater.php,Enercon,
32,Ballywater,POINT (-6.251044023299167 52.5377926181519),5,70,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_18007_ballywater.php,Enercon,
33,Barranafaddock Wind Farm,POINT (-8.104218929417828 52.17700961335966),12,103,75,98,4,25,13,"2,850",https://www.thewindpower.net/windfarm_en_22835_barranafaddock.php,GE Energy,
34,"Bawnmore (Burren/Carraignimma)
Wind",POINT (-8.905386815332974 51.95115388315384),11,82,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_1676_bawnmore.php,Enercon,
35,Beale Hill (1),POINT (-9.633621839786578 52.56425072142663),3,52,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1722_beal-hill.php,Vestas,
